short_name,long_name,Census Tract,2009-2013,2014-2018
hh_inc_med_adj,Median household income (2022$),36005029600,54771.253448739066,63752.98749090962
hh_inc_med_adj,Median household income (2022$),36005029700,109777.9809019869,105383.40497586253
hh_inc_med_adj,Median household income (2022$),36005030000,58548.49799285918,63359.70239474347
hh_inc_med_adj,Median household income (2022$),36005030100,98639.45670922351,101231.8104304545
hh_inc_med_adj,Median household income (2022$),36005030200,62049.21152655617,61188.13396749755
hh_inc_med_adj,Median household income (2022$),36005030701,111531.3565663291,110349.90437470992
hh_inc_med_adj,Median household income (2022$),36005030900,99223.91526400424,114968.45413516248
hh_inc_med_adj,Median household income (2022$),36005031000,137557.87563903394,101353.08277999275
hh_inc_med_adj,Median household income (2022$),36005031200,75588.3630063115,102651.94364514088
hh_inc_med_adj,Median household income (2022$),36005031400,97108.27190041779,103035.02826330849
hh_inc_med_adj,Median household income (2022$),36005031600,72315.87812313839,87708.24337727168
hh_inc_med_adj,Median household income (2022$),36005031800,66415.74486144693,89591.93164766974
hh_inc_med_adj,Median household income (2022$),36005009000,33702.971619690616,30341.888499895846
hh_inc_med_adj,Median household income (2022$),36005009200,37247.15727729692,52612.9321300536
hh_inc_med_adj,Median household income (2022$),36005009300,37172.28861945311,38204.19026388589
hh_inc_med_adj,Median household income (2022$),36005009600,50459.06026873494,54308.47825070073
hh_inc_med_adj,Median household income (2022$),36005009800,63396.847367744806,73103.42565624302
hh_inc_med_adj,Median household income (2022$),36005011000,56051.26598606877,
hh_inc_med_adj,Median household income (2022$),36005011502,25378.059891057615,26458.906541782846
hh_inc_med_adj,Median household income (2022$),36005011700,22970.18725008079,26236.76279870341
hh_inc_med_adj,Median household income (2022$),36005011800,88765.24678682256,95275.86466574817
hh_inc_med_adj,Median household income (2022$),36005011900,28785.791381948584,32147.373105638406
hh_inc_med_adj,Median household income (2022$),36005012101,42442.07608445956,40334.956779137625
hh_inc_med_adj,Median household income (2022$),36005012102,20562.31460910397,25383.32280615843
hh_inc_med_adj,Median household income (2022$),36005012300,25317.68194118357,32969.078277743465
hh_inc_med_adj,Median household income (2022$),36005012500,31729.820217806904,36835.05943919222
hh_inc_med_adj,Median household income (2022$),36005012701,26069.991196614144,24166.065764998664
hh_inc_med_adj,Median household income (2022$),36005012901,17269.301222973685,28565.87194170464
hh_inc_med_adj,Median household income (2022$),36005013000,82732.28203540822,109868.21513588971
hh_inc_med_adj,Median household income (2022$),36005013100,34528.94197396752,35418.32638383868
hh_inc_med_adj,Median household income (2022$),36005013200,111056.78588031912,131487.56156058484
hh_inc_med_adj,Median household income (2022$),36005013300,26580.788652548545,25140.778107081904
hh_inc_med_adj,Median household income (2022$),36005013500,24357.672538186293,25298.31882283722
hh_inc_med_adj,Median household income (2022$),36005013800,85463.78048770991,87934.92066612824
hh_inc_med_adj,Median household income (2022$),36005014100,37253.195072284325,35487.462956939926
hh_inc_med_adj,Median household income (2022$),36005014300,12213.25170052135,17516.487496391255
hh_inc_med_adj,Median household income (2022$),36005014400,26522.825820669463,26033.88662517678
hh_inc_med_adj,Median household income (2022$),36005014500,24901.07408705268,33142.486403718736
hh_inc_med_adj,Median household income (2022$),36005014701,25486.740200830893,16918.059453809918
hh_inc_med_adj,Median household income (2022$),36005014702,21663.60841480651,24813.229424684163
hh_inc_med_adj,Median household income (2022$),36005014900,28366.768409822726,31743.887531473716
hh_inc_med_adj,Median household income (2022$),36005015100,35056.64525586666,38195.12317233163
hh_inc_med_adj,Median household income (2022$),36005015200,70189.3667285746,80376.366469206
hh_inc_med_adj,Median household income (2022$),36005015300,25987.877184785444,19763.992815404123
hh_inc_med_adj,Median household income (2022$),36005015500,32239.410114743823,22497.720919014326
hh_inc_med_adj,Median household income (2022$),36005015700,31698.423683872403,38380.99854919402
hh_inc_med_adj,Median household income (2022$),36005015800,67087.1476640463,49484.78554383297
hh_inc_med_adj,Median household income (2022$),36005015900,20867.827035466627,20149.344206460286
hh_inc_med_adj,Median household income (2022$),36005016000,102768.10092161054,84472.42507884417
hh_inc_med_adj,Median household income (2022$),36005016100,20394.463908454134,18271.322868283627
hh_inc_med_adj,Median household income (2022$),36005016200,81845.93373125728,92833.41687831866
hh_inc_med_adj,Median household income (2022$),36005016400,93397.44310115912,89136.31029706805
hh_inc_med_adj,Median household income (2022$),36005016500,30387.014612608193,29445.379822468123
hh_inc_med_adj,Median household income (2022$),36005016600,84626.94210245568,73434.37449797362
hh_inc_med_adj,Median household income (2022$),36005016700,39108.00569241492,36157.29434551109
hh_inc_med_adj,Median household income (2022$),36005016900,40935.04245560345,32415.98569293344
hh_inc_med_adj,Median household income (2022$),36005017300,27410.38168381789,23193.62019580399
hh_inc_med_adj,Median household income (2022$),36005017500,21524.73913009621,29291.239266045657
hh_inc_med_adj,Median household income (2022$),36005017701,31667.027149937898,35389.991722731604
hh_inc_med_adj,Median household income (2022$),36005017702,24820.16763422146,37884.575286598134
hh_inc_med_adj,Median household income (2022$),36005017901,24932.47062098718,42079.238516888916
hh_inc_med_adj,Median household income (2022$),36005017902,32710.358123761358,26380.70287712733
hh_inc_med_adj,Median household income (2022$),36005018101,32234.5798787539,26917.928051717394
hh_inc_med_adj,Median household income (2022$),36005018102,46564.682501859184,37711.167160622856
hh_inc_med_adj,Median household income (2022$),36005018301,41660.78541308944,35858.08032422042
hh_inc_med_adj,Median household income (2022$),36005018302,56956.935234179415,42092.83915422031
hh_inc_med_adj,Median household income (2022$),36005018400,92350.48945034323,75244.39264949331
hh_inc_med_adj,Median household income (2022$),36005018500,27814.913947973975,30968.651203584257
hh_inc_med_adj,Median household income (2022$),36005018900,27622.91206737452,33001.94648462767
hh_inc_med_adj,Median household income (2022$),36005019300,24509.824971868882,25784.541607434556
hh_inc_med_adj,Median household income (2022$),36005019400,61958.64460174511,59219.441713778266
hh_inc_med_adj,Median household income (2022$),36005019500,38703.47342825883,30919.915586480092
hh_inc_med_adj,Median household income (2022$),36005019700,33688.48091172085,35389.991722731604
hh_inc_med_adj,Median household income (2022$),36005019900,31622.347467031108,38815.08555735434
hh_inc_med_adj,Median household income (2022$),36005020000,42210.22475694323,46823.59417265687
hh_inc_med_adj,Median household income (2022$),36005020100,37250.77995428936,36481.44286857598
hh_inc_med_adj,Median household income (2022$),36005020200,47407.558682100826,43918.72471595996
hh_inc_med_adj,Median household income (2022$),36005020400,61362.11045698956,56981.00348631966
hh_inc_med_adj,Median household income (2022$),36005020501,31778.122577706137,22231.37510460786
hh_inc_med_adj,Median household income (2022$),36005020502,30188.974937021336,18708.8100357768
hh_inc_med_adj,Median household income (2022$),36005020601,64151.57174117034,59120.83709312566
hh_inc_med_adj,Median household income (2022$),36005020900,35632.65089766502,34709.959856161906
hh_inc_med_adj,Median household income (2022$),36005021001,57974.90746905577,61596.15308743938
hh_inc_med_adj,Median household income (2022$),36005021002,57181.54120771085,63565.978727602946
hh_inc_med_adj,Median household income (2022$),36005021100,29061.114833374217,31781.28928413505
hh_inc_med_adj,Median household income (2022$),36005021200,65562.00065022797,63560.31179538154
hh_inc_med_adj,Median household income (2022$),36005021301,27452.64624872972,28300.659513742456
hh_inc_med_adj,Median household income (2022$),36005021302,31580.082902119277,34250.938346227354
hh_inc_med_adj,Median household income (2022$),36005021501,37270.10089824906,31315.467455534803
hh_inc_med_adj,Median household income (2022$),36005021502,23452.003290075652,25984.017621628336
hh_inc_med_adj,Median household income (2022$),36005021601,27554.081204518112,33990.2594640423
hh_inc_med_adj,Median household income (2022$),36005021602,53639.77066809951,56385.97560307117
hh_inc_med_adj,Median household income (2022$),36005021700,25053.226520735265,28679.210586132922
hh_inc_med_adj,Median household income (2022$),36005021800,40214.12973410738,44877.56964782324
hh_inc_med_adj,Median household income (2022$),36005021900,37376.366090027375,24578.618430717615
hh_inc_med_adj,Median household income (2022$),36005022000,16120.912616369393,36519.978007681595
hh_inc_med_adj,Median household income (2022$),36005022101,32674.131353836932,31952.430637221758
hh_inc_med_adj,Median household income (2022$),36005022102,22027.083673048248,27170.673228792468
hh_inc_med_adj,Median household income (2022$),36005022200,54340.154886638404,46727.25632489283
hh_inc_med_adj,Median household income (2022$),36005022300,38163.69455638489,30076.676071933663
hh_inc_med_adj,Median household income (2022$),36005022401,48524.550754770615,58252.66307680501
hh_inc_med_adj,Median household income (2022$),36005022403,42044.78917428835,44918.371559817424
hh_inc_med_adj,Median household income (2022$),36005022404,50062.98091756122,58843.157414276364
